data,abertura,maxima,minima,fechamento,volume,ajustado,ano,mes,dia_semana,trimestre,tendencia,sazonalidade,residuos_stl,dif_1,retorno_simples,log_retorno,log_retorno_tratado,volume_norm,log_retorno_z,fechamento_z,tendencia_z
2020-08-04,40.779998779296875,42.08000183105469,40.13999938964844,41.70000076293945,451575,41.70000076293945,2020,8,terça,3,39.23529905622504,-0.20176420548529003,2.6664659121997047,0.69000244140625,0.01682522481460213,0.01668524862493082,0.01668524862493082,0.2289841455432254,0.6717921707702771,-1.2051960077630712,-1.5393621379615483
2020-08-05,41.560001373291016,43.52000045776367,41.470001220703125,42.189998626708984,491268,42.189998626708984,2020,8,quarta,3,39.241648246322654,-0.30966633249630615,3.258016712882636,0.4899978637695313,0.01175054807684827,0.01168204648542656,0.01168204648542656,0.252119727056909,0.46707431149995043,-1.1765683349577216,-1.5389388221390208
2020-08-06,42.189998626708984,42.650001525878906,41.61000061035156,41.95000076293945,359610,41.95000076293945,2020,8,quinta,3,39.24799743642026,-0.40574914021576874,3.107752466734958,-0.23999786376953125,-0.00568850134111165,-0.00570474248600124,-0.00570474248600124,0.1753811486947657,-0.24434731780249938,-1.1905899885729476,-1.538515506316494
2020-08-07,41.970001220703125,42.220001220703125,41.060001373291016,41.220001220703125,398997,41.220001220703125,2020,8,sexta,3,39.34226098771319,-0.2889336795617318,2.1666739125516656,-0.7299995422363281,-0.01740165742455102,-0.01755484602343782,-0.01755484602343782,0.19833837412694408,-0.7292223559627833,-1.233239537863689,-1.5322307279217011
2020-08-10,41.5,42.33000183105469,41.16999816894531,41.939998626708984,367796,41.939998626708984,2020,8,segunda,3,39.436524539006115,-0.1039364007258761,2.607410488428748,0.7199974060058594,0.01746718546054371,0.01731638765293755,0.01731638765293755,0.1801524653065364,0.697616718152705,-1.1911743541478454,-1.5259459495269083
2020-08-11,41.97999954223633,42.939998626708984,41.47999954223633,41.61000061035156,432843,41.61000061035156,2020,8,terça,3,39.53078809029904,0.10378745725593357,1.9754250627965888,-0.3299980163574219,-0.00786833636535377,-0.0078994550663545,-0.0078994550663545,0.21806595561265021,-0.3341491784181276,-1.2104541835863225,-1.5196611711321155
2020-08-12,41.619998931884766,42.900001525878906,41.529998779296875,42.66999816894531,397831,42.66999816894531,2020,8,quarta,3,39.625051641591966,0.05969239822335915,2.9852541291299843,1.05999755859375,0.02547458647068734,0.02515551662467972,0.02515551662467972,0.19765875585558754,1.0183732370564298,-1.148524804857104,-1.5133763927373227
2020-08-13,42.56999969482422,42.84000015258789,42.09000015258789,42.2400016784668,329507,42.2400016784668,2020,8,quinta,3,39.71931519288489,-0.6303470155833303,3.1510335011652373,-0.4299964904785156,-0.01007725589244257,-0.01012837515348089,-0.01012837515348089,0.15783522346093565,-0.4253507201504304,-1.1736469528235642,-1.50709161434253
2020-08-14,42.33000183105469,42.56999969482422,41.619998931884766,42.0099983215332,310866,42.0099983215332,2020,8,sexta,3,39.81357874417782,-1.702205720938312,3.898625298293694,-0.23000335693359375,-0.00544515501406439,-0.00546003390712746,-0.00546003390712746,0.14697007406440288,-0.2343344870162766,-1.187084686604224,-1.5008068359477373
2020-08-17,42.2400016784668,42.970001220703125,41.79999923706055,42.88999938964844,208429,42.88999938964844,2020,8,segunda,3,39.90784229547074,-1.3945079650456047,4.376665059223299,0.8800010681152344,0.02094741973993774,0.02073103907085513,0.02073103907085513,0.08726333575998634,0.8373352641836549,-1.135671436651342,-1.4945220575529445
