data,abertura,maxima,minima,fechamento,volume,ajustado,ano,mes,dia_semana,trimestre,tendencia,sazonalidade,residuos_stl,dif_1,retorno_simples,log_retorno
2021-02-08,57.060001373291016,58.13999938964844,57,57.970001220703125,399724,57.970001220703125,2021,2,segunda,1,55.09192632771298,0.254276875294181,2.623798017695961,1.1200027465820312,0.019701016299795926,0.019509463053032146
2021-02-09,58.11000061035156,58.619998931884766,57.27000045776367,58.36000061035156,514698,58.36000061035156,2021,2,terça,1,55.22278711763882,-0.9054926949362454,4.042706187648982,0.3899993896484375,0.006727607062894991,0.006705077703834748
2021-02-10,58.45000076293945,58.90999984741211,58.08000183105469,58.68000030517578,457535,58.68000030517578,2021,2,quarta,1,55.35364790756467,-0.5692410324507076,3.8955934300618154,0.31999969482421875,0.005483202389950925,0.005468224362485355
2021-02-11,58.400001525878906,58.709999084472656,57.84000015258789,58.2400016784668,380445,58.2400016784668,2021,2,quinta,1,55.48450869749051,-0.6904910992945968,3.4459840802708825,-0.4399986267089844,-0.007498272399807271,-0.007526525767200488
2021-02-12,57.939998626708984,59.81999969482422,57.40999984741211,59.470001220703125,480822,59.470001220703125,2021,2,sexta,1,55.61536948741636,0.15909372486289786,3.695538008423867,1.2299995422363281,0.02111949702589211,0.020899571536612125
2021-02-16,59.97999954223633,60.95000076293945,59.33000183105469,60.04999923706055,602332,60.04999923706055,2021,2,terça,1,55.74623027734221,0.33367788144836985,3.9700910782699737,0.5799980163574219,0.00975278299061988,0.009705531576051956
2021-02-17,60.2400016784668,61.72999954223633,59.43000030517578,61.13999938964844,335419,61.13999938964844,2021,2,quarta,1,55.87709106726805,0.1128392410764946,5.150069081303897,1.0900001525878906,0.018151543154644845,0.01798877065891413
2021-02-18,61.68000030517578,62.2599983215332,59.790000915527344,60.52000045776367,132035,60.52000045776367,2021,2,quinta,1,56.007951857193895,0.4736683418443467,4.038380258725432,-0.6199989318847656,-0.010140643409782824,-0.010192409995840137
2021-02-19,60.20000076293945,60.290000915527344,58.59000015258789,59.2400016784668,102427,59.2400016784668,2021,2,sexta,1,56.138812647119735,0.4804565584313414,2.6207324729157193,-1.279998779296875,-0.021150012716708022,-0.02137687875106325
2021-02-22,58.880001068115234,61.84000015258789,58.81999969482422,61.4900016784668,505773,61.4900016784668,2021,2,segunda,1,56.26967343704558,0.2772448958170832,4.94308334560413,2.25,0.037981092779372005,0.03727756952902632
2021-02-23,62.15999984741211,63,60.66999816894531,61.66999816894531,570677,61.66999816894531,2021,2,terça,1,56.40053422697142,0.3623671260250914,4.9070968159487975,0.17999649047851562,0.0029272480983124627,0.002922972050267851
2021-02-24,61.290000915527344,63.5099983215332,60.970001220703125,63.220001220703125,489933,63.220001220703125,2021,2,quarta,1,56.53139501689727,0.5541556032830666,6.13445060052279,1.5500030517578125,0.025133826784161206,0.02482316678405671
2021-02-25,63.38999938964844,63.810001373291016,62.650001525878906,63.529998779296875,510357,63.529998779296875,2021,2,quinta,1,56.66225580682311,0.98822874223039,5.879514230243373,0.30999755859375,0.004903472834673517,0.004891489967564144
2021-02-26,63.459999084472656,63.56999969482422,61.34000015258789,61.5,472723,61.5,2021,2,sexta,1,56.79311659674896,0.9056349919870388,3.8012484112640057,-2.029998779296875,-0.03195338923819424,-0.03247504125137606
2021-03-01,61.95000076293945,62.91999816894531,59.959999084472656,60.63999938964844,456679,60.63999938964844,2021,3,segunda,1,56.9239773866748,1.1438747658118869,2.572147237161751,-0.8600006103515625,-0.013983749761814046,-0.01408244354352033
2021-03-02,60.22999954223633,61.209999084472656,59.380001068115234,59.75,464133,59.75,2021,3,terça,1,57.05483817660065,2.165447205398046,0.5297146180013073,-0.8899993896484375,-0.014676771085198381,-0.014785540457331867
2021-03-03,59.54999923706055,61.9900016784668,59.2400016784668,61.279998779296875,465311,61.279998779296875,2021,3,quarta,1,57.18569896652649,1.1837689351909484,2.91053087757944,1.529998779296875,0.02560667413049167,0.02528431470062549
2021-03-04,61.08000183105469,64.86000061035156,60.52000045776367,63.83000183105469,694628,63.83000183105469,2021,3,quinta,1,57.316559756452335,1.4739693735858128,5.0394727010165425,2.5500030517578125,0.04161232216961652,0.040769822442147795
2021-03-05,64.160003662109375,66.41999816894531,63.81999969482422,66.089996337890625,573168,66.089996337890625,2021,3,sexta,1,57.447420546378176,2.150934018586596,6.491641772925853,2.2599945068359375,0.035406461569869485,0.034794066117021245
2021-03-08,66.68000030517578,67.9800033569336,64.56999969482422,65.05000305175781,533376,65.05000305175781,2021,3,segunda,1,57.57828133630402,1.963353014839155,5.508368700614632,-1.0399932861328125,-0.01573601670085989,-0.015861142198869006
2021-03-09,64.7300033569336,65.9800033569336,63.630001068115234,64.01000213623047,554564,64.01000213623047,2021,3,terça,1,57.709142126229864,1.263952518404835,5.03690749159577,-1.0400009155273438,-0.01598771509203245,-0.01611689734524773
2021-03-10,63.84000015258789,64.95999908447266,63.130001068115234,64.44000244140625,498488,64.44000244140625,2021,3,quarta,1,57.84000291615571,-0.0545383183837101,6.654537843634245,0.43000030517578125,0.006717704902752919,0.006695241667977896
2021-03-11,64.69999694824219,66.20999908447266,64.54000091552734,66.0199966430664,441063,66.0199966430664,2021,3,quinta,1,57.97086370608156,-0.03142924284329507,8.08056217982815,1.5799942016601562,0.024518841430783755,0.024223079382547866
2021-03-12,65.95999908447266,66.23999786376953,65.410003662109375,65.61000061035156,321714,65.61000061035156,2021,3,sexta,1,58.1017244960074,-0.14104666321907278,7.649322777563235,-0.40999603271484375,-0.006210179545016681,-0.006229542918315965
2021-03-15,65.55999755859375,66.4000015258789,64.12999725341797,65.38999938964844,378009,65.38999938964844,2021,3,segunda,1,58.23258528593324,-1.163392479923861,8.320806583639055,-0.220001220703125,-0.0033531659603187602,-0.0033588004203430662
2021-03-16,65.33000183105469,65.43000030517578,63.79999923706055,64.80000305175781,317537,64.80000305175781,2021,3,terça,1,58.36344607585909,-1.9457380053245004,8.382294981223225,-0.589996337890625,-0.009022730438869253,-0.009063681785908707
2021-03-17,64.75,65.339996337890625,63.599998474121094,64.5999984741211,254724,64.5999984741211,2021,3,quarta,1,58.497968506018715,-2.094745221935179,8.196775190037563,-0.20000457763671875,-0.0030864902502700797,-0.0030912632851165392
2021-03-18,64.41999816894531,64.81999969482422,58.20000076293945,60,143597,60,2021,3,quinta,1,58.63249093617834,-2.701024187868929,4.068533251690589,-4.599998474121094,-0.07120740840208939,-0.07386982494603866
2021-03-19,59.560001373291016,61.720001220703125,58.939998626708984,61.41999816894531,84171,61.41999816894531,2021,3,sexta,1,58.76701336633797,-1.9154853673258485,4.568470169933192,1.4199981689453125,0.023666636149088482,0.0233909229785483
2021-03-22,61.54999923706055,61.900001525878906,60.38999938964844,61.54999923706055,404370,61.54999923706055,2021,3,segunda,1,58.9015357964976,-1.1517643610028492,3.800227801565797,0.13000106811523438,0.002116591859179895,0.00211435503437142
2021-03-23,61.279998779296875,61.349998474121094,57.25,57.7599983215332,712317,57.7599983215332,2021,3,terça,1,59.036058226657225,-1.0880365853668357,-0.18802331975718545,-3.7900009155273438,-0.061575970146321324,-0.06355337470977825
2021-03-24,57.400001525878906,61.34000015258789,57.290000915527344,61.18000030517578,566291,61.18000030517578,2021,3,quarta,1,59.17058065681685,-0.6670351877381948,2.676454836097122,3.420001983642578,0.05921056237925115,0.0575238781856778
